Line:;1;Full Line:;arma virumque cano, Troiae qui primus ab oris;;;;;;;;;;;;;;
;Syllable 1;Syllable 2;Syllable 3;Syllable 4;Syllable 5;Syllable 6;Syllable 7;Syllable 8;Syllable 9;Syllable 10;Syllable 11;Syllable 12;Syllable 13;Syllable 14;Syllable 15;Syllable 16;Syllable 17
;ar;ma;vi;rum;que;ca;no;Tro;iae;qui;pri;mus;ab;o;ris;;
Length:;-;u;u;-;u;u;-;-;-;-;-;u;u;-;x;;
;;;;;;;;;;;;;;;;;
Line:;2;Full Line:;Italiam, fato profugus, Laviniaque venit;;;;;;;;;;;;;;
;Syllable 1;Syllable 2;Syllable 3;Syllable 4;Syllable 5;Syllable 6;Syllable 7;Syllable 8;Syllable 9;Syllable 10;Syllable 11;Syllable 12;Syllable 13;Syllable 14;Syllable 15;Syllable 16;Syllable 17
;It;al;i;am;fa;to;pro;fu;gus;la;vin;ia;que;ven;it;;
Length:;-;u;u;-;-;-;u;u;-;-;-;u;u;-;X;;
;;;;;;;;;;;;;;;;;
Line:;3;Full Line:;litora, multum ille et terris iactatus et alto;;;;;;;;;;;;;;
;Syllable 1;Syllable 2;Syllable 3;Syllable 4;Syllable 5;Syllable 6;Syllable 7;Syllable 8;Syllable 9;Syllable 10;Syllable 11;Syllable 12;Syllable 13;Syllable 14;Syllable 15;Syllable 16;Syllable 17
;lit;o;ra;mul;tum-il;le-et;ter;ris;i-ac;tat;us;et;al;to;;;
Length:;-;u;u;-;-;-;-;-;-;-;u;u;-;X;;;
;;;;;;;;;;;;;;;;;
Line:;4;Full Line:;vi superum saevae memorem Iunonis ob iram;;;;;;;;;;;;;;
;Syllable 1;Syllable 2;Syllable 3;Syllable 4;Syllable 5;Syllable 6;Syllable 7;Syllable 8;Syllable 9;Syllable 10;Syllable 11;Syllable 12;Syllable 13;Syllable 14;Syllable 15;Syllable 16;Syllable 17
;vi;sup;er;um;sae;vae;mem;or;em;Iun;on;is;ob;ir;am;;
Length:;-;u;u;-;-;-;u;u;-;-;-;u;u;-;X;;
;;;;;;;;;;;;;;;;;
Line:;5;Full Line:;multa quoque et bello passus, dum conderet urbem;;;;;;;;;;;;;;
;Syllable 1;Syllable 2;Syllable 3;Syllable 4;Syllable 5;Syllable 6;Syllable 7;Syllable 8;Syllable 9;Syllable 10;Syllable 11;Syllable 12;Syllable 13;Syllable 14;Syllable 15;Syllable 16;Syllable 17
;mul;ta;quo;que-et;bel;lo;pass;us;dum;con;der;et;ur;bem;;;
Length:;-;u;u;-;-;-;-;-;-;-;u;u;-;X;;;
;;;;;;;;;;;;;;;;;
Line:;6;Full Line:;inferretque deos Latio, genus unde Latinum,;;;;;;;;;;;;;;
;Syllable 1;Syllable 2;Syllable 3;Syllable 4;Syllable 5;Syllable 6;Syllable 7;Syllable 8;Syllable 9;Syllable 10;Syllable 11;Syllable 12;Syllable 13;Syllable 14;Syllable 15;Syllable 16;Syllable 17
;in;fer;ret;que;de;os;La;ti;o;gen;us;un;de;la;tin;um;
Length:;-;-;-;u;u;-;u;u;-;u;u;-;u;u;-;X;
;;;;;;;;;;;;;;;;;
Line:;7;Full Line:;Albanique patres, atque altae moenia Romae.;;;;;;;;;;;;;;
;Syllable 1;Syllable 2;Syllable 3;Syllable 4;Syllable 5;Syllable 6;Syllable 7;Syllable 8;Syllable 9;Syllable 10;Syllable 11;Syllable 12;Syllable 13;Syllable 14;Syllable 15;Syllable 16;Syllable 17
